trade_id,date,settlement_id,commodity,quantity,unit_value,trade_type,crew_member,outcome
T-0078,2027-06-04,S-003,fuel,7,53 sc,inbound,Vanek,completed
T-0079,2027-06-05,S-007,salvage,9,7 sc,inbound,Briar,completed
T-0080,2027-06-07,S-003,salvage,6,9 sc,outbound,Osei,completed
T-0081,2027-06-08,S-003,water,32,7 sc,outbound,Mercer,completed
T-0082,2027-06-10,S-003,medicine,4,117 sc,inbound,Kell,partial
T-0083,2027-06-10,S-004,food,26,5 sc,inbound,Osei,completed
T-0084,2027-06-12,S-003,medicine,5,79 sc,outbound,Mercer,completed
T-0085,2027-06-12,S-008,tools,4,86 sc,outbound,Kell,completed
T-0086,2027-06-14,S-008,water,23,6 sc,inbound,Tace,completed
T-0087,2027-06-15,S-003,components,2,75 sc,outbound,Kell,completed
T-0088,2027-06-16,S-003,fuel,17,23 sc,outbound,Briar,partial
T-0089,2027-06-16,S-003,medicine,2,127 sc,inbound,Osei,completed
T-0090,2027-06-17,S-003,water,21,10 sc,inbound,Mercer,renegotiated
T-0091,2027-06-18,S-003,food,23,3 sc,outbound,Ferros,completed
T-0092,2027-06-19,S-003,food,35,5 sc,inbound,Kell,renegotiated
T-0093,2027-06-20,S-002,fuel,2,40 sc,outbound,Solano,partial
T-0094,2027-06-22,S-004,fuel,9,18 sc,outbound,Briar,partial
T-0095,2027-06-22,S-004,food,27,6 sc,outbound,Briar,completed
T-0096,2027-06-24,S-007,ammunition,1,49 sc,inbound,Tace,partial
T-0097,2027-06-24,S-003,ammunition,12,36 sc,inbound,Tace,partial
T-0098,2027-06-25,S-003,ammunition,8,33 sc,inbound,Kell,completed
T-0099,2027-06-25,S-011,medicine,1,80 sc,outbound,Osei,renegotiated
T-0100,2027-06-26,S-001,fuel,8,15 sc,outbound,Solano,partial
T-0101,2027-06-28,S-003,water,21,6 sc,inbound,Briar,completed
T-0102,2027-06-28,S-001,tools,5,63 sc,outbound,Osei,completed
