NewQuestion,MC,
QuestionText,"Which sequence describes the split-apply-combine pattern used by pandas groupby?",
Option,0,"A single-level index whose values are tuples of the grouping key values",
Option,0,"A single-level index that concatenates the key values into one string per row",
Option,0,"A default integer index with the grouping keys retained as regular columns",
Option,100,"A hierarchical index (MultiIndex) with one level per grouping key, where each row corresponds to a unique combination of key values",

NewQuestion,MC,
QuestionText,"Which of the following is NOT one of the optimized GroupBy aggregation methods listed in Chapter 10?",
Option,0,"mean",
Option,0,"quantile",
Option,100,"concat",
Option,0,"first",

NewQuestion,MC,
QuestionText,"What does grouped.agg('mean') produce for a single-column GroupBy?",
Option,0,"A DataFrame with the mean of every column in the original DataFrame",
Option,100,"The same result as grouped.mean(): a Series with one value per group",
Option,0,"A scalar: the mean of all values across all groups",
Option,0,"A DataFrame with one column called 'mean' and one row per group",

NewQuestion,MC,
QuestionText,"What does grouped['col'].agg(['mean', 'std', 'count']) return?",
Option,0,"A Series with three values: the overall mean, std, and count",
Option,0,"A list of three Series, one for each function",
Option,0,"A DataFrame with the three function names as rows and the groups as columns",
Option,100,"A DataFrame with one row per group and three columns named 'mean', 'std', and 'count'",

NewQuestion,MC,
QuestionText,"Why does Chapter 10 recommend passing string aliases like 'mean' or 'sum' to .agg() rather than the equivalent NumPy functions like np.mean or np.sum?",
Option,0,"String aliases are the only way to apply a function to a GroupBy object; NumPy functions will raise an error",
Option,0,"NumPy functions do not handle missing values, while string aliases do",
Option,0,"String aliases automatically round results to two decimal places",
Option,100,"The string aliases use optimized implementations that are faster than general custom functions",

NewQuestion,MC,
QuestionText,"When you pass a list of (name, function) tuples to .agg() instead of a plain list of function names, what does the tuple form control?",
Option,100,"The first element of each tuple becomes the column name in the resulting DataFrame, replacing the default function name",
Option,0,"The first element restricts which groups the function runs on; the second is the function itself",
Option,0,"The tuple form changes the order of operations so the named step runs before any plain-list steps",
Option,0,"The tuple form is only used to pass keyword arguments to the aggregation function",

NewQuestion,MC,
QuestionText,"If you pass a dictionary like {'total_bill': 'sum', 'tip': 'mean'} to .agg(), what happens?",
Option,0,"The keys become the column names in the output and the values become the row labels",
Option,100,"Each column listed in the dictionary is aggregated using its own specified function; columns not listed are excluded from the result",
Option,0,"All listed functions are applied to all listed columns, producing a DataFrame with hierarchical columns",
Option,0,"The first key-value pair is used and the others are silently ignored",

NewQuestion,MC,
QuestionText,"When aggregating a DataFrame with multiple value columns and passing a list of functions to .agg(), what shape does the resulting DataFrame have?",
Option,0,"A flat column index with names like 'column1_mean', 'column1_sum', produced by joining the column name and function name",
Option,0,"A DataFrame with the original columns and a new index level labeling which function produced each row",
Option,0,"A Series with a MultiIndex combining column name and function name",
Option,100,"A DataFrame with hierarchical columns: an outer level naming the source column and an inner level naming the function",

NewQuestion,MC,
QuestionText,"What does passing as_index=False to groupby() change about the aggregation result?",
Option,0,"The result retains every original row rather than reducing to one row per group",
Option,100,"The grouping keys become regular columns in the result rather than being placed in the index",
Option,0,"Missing values in the grouping key become their own group in the result",
Option,0,"The result is returned as a NumPy array instead of a DataFrame",

NewQuestion,MC,
QuestionText,"Which GroupBy method is described in Chapter 10 as the 'most general-purpose'?",
Option,0,"agg",
Option,0,"transform",
Option,100,"apply",
Option,0,"filter",

NewQuestion,MC,
QuestionText,"When you pass a function to grouped.apply(f), what does pandas do with it?",
Option,100,"It splits the data into groups, calls f on each group, and concatenates the results into a single output",
Option,0,"It runs f once on the full DataFrame and then filters the result by group",
Option,0,"It converts f into a vectorized NumPy operation and applies it element-wise within each group",
Option,0,"It raises an error unless f returns a single scalar value; apply requires reduction",

NewQuestion,MC,
QuestionText,"How do you pass extra keyword arguments to a function used with grouped.apply()?",
Option,0,"Wrap the function in a lambda that captures the arguments, for example grouped.apply(lambda g: f(g, n=5)), which is the only supported pattern",
Option,100,"Pass them after the function itself in the apply call, for example grouped.apply(f, n=5, column='col_name')",
Option,0,"Set them as attributes on the GroupBy object before calling apply",
Option,0,"Keyword arguments are not supported with apply; the function must be rewritten to take only one argument",

NewQuestion,MC,
QuestionText,"What is the key difference between the output of grouped.apply() and grouped.agg() when the same function is used?",
Option,0,"apply always returns a Python list; agg returns a DataFrame",
Option,0,"apply only works on a single column at a time; agg works on the full DataFrame",
Option,100,"apply can return any shape per group; agg expects one value per group",
Option,0,"apply drops rows with NaN values; agg retains them",

NewQuestion,MC,
QuestionText,"What does passing group_keys=False to groupby() do when combined with apply()?",
Option,100,"It suppresses the hierarchical index formed from the group keys in the apply result, leaving only the original row indexes",
Option,0,"It causes apply to drop the grouping columns from the result",
Option,0,"It changes apply to return a dictionary keyed by group name instead of a DataFrame",
Option,0,"It skips groups whose key is NaN",

NewQuestion,MC,
QuestionText,"When you call grouped.describe(), what is Chapter 10's explanation of how pandas computes the result internally?",
Option,0,"It is equivalent to calling .describe() on the full DataFrame and then grouping the output",
Option,0,"It uses a dedicated SQL-style implementation that bypasses the GroupBy mechanism",
Option,0,"It is an alias for grouped.agg(['mean', 'std', 'min', 'max'])",
Option,100,"It is equivalent to writing a function that calls .describe() on a group and passing that function to grouped.apply()",

NewQuestion,MC,
QuestionText,"To compute group statistics on quantile-defined buckets of a numeric column, what pattern does Chapter 10 describe?",
Option,100,"Use pd.qcut() or pd.cut() to produce a Categorical, then pass that Categorical directly to groupby() as the grouping key",
Option,0,"Call .quantile() on the GroupBy object with a list of quantile cutoffs",
Option,0,"Call pd.qcut() on the result of a GroupBy aggregation, passing the number of desired buckets",
Option,0,"Manually sort the DataFrame, slice it into N equal-sized chunks, and aggregate each chunk separately",

NewQuestion,MC,
QuestionText,"Which of the following is NOT one of the three constraints Chapter 10 lists for a function passed to transform()?",
Option,0,"It can produce a scalar value that will be broadcast to the shape of the group",
Option,0,"It can produce an object of the same shape as the input group",
Option,100,"It must reduce the input to a single value per group, like an aggregation",
Option,0,"It must not mutate its input",

NewQuestion,MC,
QuestionText,"If grouped.mean() produces a 3-row Series (one row per group), what shape will grouped.transform('mean') produce on the same GroupBy?",
Option,0,"A 3-row Series identical to grouped.mean()",
Option,0,"A 1-row Series containing the overall mean across all groups",
Option,0,"A DataFrame with three rows and one column per original column",
Option,100,"The same number of rows as the original input, with the group mean broadcast to every row that belongs to the group",

NewQuestion,MC,
QuestionText,"What does Chapter 10 mean by an 'unwrapped' group operation?",
Option,0,"Calling .reset_index() on a grouped result to flatten the hierarchical index",
Option,0,"Using groupby on an already-sorted DataFrame so no splitting is needed",
Option,100,"Performing arithmetic directly between GroupBy transform outputs and original Series, rather than wrapping the whole calculation in a function passed to apply",
Option,0,"Applying a transform function to the full DataFrame instead of to individual groups",

NewQuestion,MC,
QuestionText,"In a pivot_table() call, what does the values argument specify?",
Option,100,"The column (or list of columns) whose values are aggregated in the cells of the result",
Option,0,"The list of allowed values that the index and columns can take",
Option,0,"The fill value to use where a cell combination has no matching rows",
Option,0,"The set of unique values to use as column labels in the output",

NewQuestion,MC,
QuestionText,"What is the default aggregation function used by pivot_table() when the aggfunc argument is not specified?",
Option,0,"sum",
Option,0,"count",
Option,100,"mean",
Option,0,"first",

NewQuestion,MC,
QuestionText,"What does the margins=True argument add to a pivot_table() result?",
Option,0,"A visual border drawn around the outer edge of the printed table",
Option,100,"An 'All' row and 'All' column with totals across each axis, plus a grand total in the bottom-right",
Option,0,"A 'Margin' column at the right of the table showing the standard error for each row",
Option,0,"Row and column labels showing the percentage each cell contributes to its row total",

NewQuestion,MC,
QuestionText,"Which statement best describes pandas.crosstab()?",
Option,100,"A specialized pivot_table for frequency counts, taking arrays or Series as its first two arguments",
Option,0,"A shortcut for pivot_table with aggfunc='sum' and a DataFrame as its first argument",
Option,0,"A function that joins two DataFrames by combining every row of one with every row of the other",
Option,0,"A helper for reshaping between wide and long format, similar to pd.melt",
